SA2_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
101021007,3,0,0,0,3,0,0,3,187,14,9,0,206,0,0,0,207,9,0,213,150,31,3,0,191,0,0,0,190,5,0,193,27,12,0,0,33,0,0,0,33,0,0,33,0,0,0,3,3,0,0,0,6,0,0,6,358,53,13,9,426,4,0,0,429,14,0,448,3,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,4,0,0,0,4,0,0,4,4,3,0,0,4,0,0,0,4,0,0,4,360,56,13,9,436,4,0,0,441,14,0,455,73,16,12,3,103,0,0,0,103,11,0,119,0,0,0,0,0,0,0,0,0,0,0,0,437,73,18,9,537,4,0,0,544,26,0,570
101021008,26,0,0,0,26,0,0,24,474,51,6,0,532,10,4,13,547,19,0,569,360,56,8,3,425,12,0,12,435,17,3,449,93,6,6,6,110,0,0,0,110,0,0,114,0,0,0,6,9,0,0,0,9,7,0,9,931,109,24,16,1073,17,4,20,1095,40,7,1137,6,0,0,0,6,0,0,0,6,0,0,8,17,3,3,0,20,0,0,0,20,5,0,25,24,3,3,0,22,0,0,0,30,12,0,31,945,111,26,16,1095,21,4,22,1123,47,7,1176,140,10,0,0,158,3,0,6,163,39,0,202,0,0,0,0,0,0,0,0,0,0,0,4,1087,126,26,14,1256,28,3,27,1286,89,6,1377
101021009,14,0,0,0,14,0,0,18,428,76,18,3,526,9,0,11,537,26,0,566,350,85,8,3,450,4,5,5,456,12,4,465,80,8,5,0,93,0,0,0,93,3,0,95,4,0,0,9,16,0,0,0,16,0,0,16,868,170,29,13,1082,10,3,15,1095,37,4,1142,3,0,0,0,5,0,0,0,8,0,0,8,17,11,0,0,26,0,0,0,22,0,4,32,21,11,0,0,31,3,0,3,30,0,4,38,888,177,29,13,1110,16,3,20,1131,37,8,1177,205,42,7,9,260,4,0,4,258,22,0,284,0,0,0,0,0,0,0,0,0,0,5,10,1094,219,37,20,1370,17,3,22,1397,59,12,1464
101021010,16,0,0,0,16,0,0,15,228,33,3,0,264,0,0,0,266,9,0,273,174,15,0,3,195,3,0,3,198,0,0,198,31,0,5,0,35,0,0,0,39,4,0,41,6,0,0,3,9,0,0,0,9,0,0,13,439,52,6,13,511,7,0,7,513,13,0,525,15,0,0,0,15,0,0,0,16,0,0,16,6,0,0,0,6,0,0,0,6,0,0,6,21,0,0,0,21,0,0,0,19,0,0,19,461,52,6,13,528,9,0,9,538,13,0,549,97,21,0,0,110,0,0,0,115,22,0,132,0,0,0,0,0,0,0,0,0,0,0,0,557,67,8,8,645,9,0,9,655,33,0,689
101021012,51,0,0,0,51,8,0,65,1215,91,20,5,1333,3,0,3,1334,55,0,1392,850,61,23,10,940,0,0,0,945,20,0,964,169,16,21,0,202,0,0,0,202,0,0,204,9,0,0,9,19,0,0,0,19,0,0,19,2240,173,64,19,2499,10,0,10,2506,77,3,2585,4,0,0,0,7,0,0,0,7,0,0,7,12,0,0,0,12,0,0,0,12,0,0,12,20,0,0,0,20,0,0,0,20,0,0,20,2266,173,64,19,2521,10,0,10,2528,77,3,2610,264,18,3,0,291,6,0,6,290,16,0,307,3,0,0,0,7,0,0,0,7,0,10,15,2532,196,68,24,2818,11,0,11,2829,91,12,2935
101021610,13,0,0,0,13,0,0,15,749,54,24,0,837,3,3,3,838,15,3,851,498,39,9,0,546,0,0,0,546,17,0,560,145,3,20,4,175,0,0,0,175,0,0,175,7,0,0,0,14,0,0,0,14,0,0,13,1399,101,53,5,1572,3,3,3,1573,28,3,1607,13,0,0,0,13,0,0,0,13,0,0,13,15,0,0,0,15,0,0,0,15,0,0,15,30,0,0,0,30,0,0,0,30,0,0,30,1430,101,53,5,1602,3,3,3,1600,28,3,1636,164,11,0,0,174,0,0,0,174,8,0,186,0,0,0,0,0,0,0,0,0,0,6,6,1594,117,59,5,1777,3,3,3,1781,36,7,1826
101021611,58,0,0,0,58,8,0,63,1346,108,37,10,1495,5,0,5,1504,70,0,1573,976,99,23,10,1110,3,3,6,1110,28,0,1148,163,18,15,10,195,0,0,0,199,8,0,202,11,0,0,14,28,0,0,0,28,0,4,30,2491,220,73,39,2828,13,3,16,2844,109,10,2958,20,0,0,0,20,0,0,0,20,0,0,20,12,0,0,0,12,0,0,0,12,0,0,12,35,0,0,0,35,0,0,0,40,0,0,40,2529,220,73,39,2860,19,3,17,2881,109,10,2994,255,26,3,0,286,3,0,3,286,39,0,330,0,0,0,5,0,0,0,0,0,0,0,3,2787,246,73,44,3150,20,3,19,3168,148,10,3328
101031013,4,0,0,0,4,0,0,4,90,5,5,0,98,0,0,0,98,0,0,98,163,6,0,0,167,0,0,0,167,0,0,169,9,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,262,12,4,0,276,0,0,0,276,0,0,283,5,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,7,0,0,0,7,0,0,7,11,0,0,0,11,0,0,0,11,0,0,11,273,12,4,0,286,0,0,0,286,0,0,288,25,0,0,0,28,0,0,0,25,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,295,13,4,0,314,0,0,0,316,12,0,330
101031014,3,0,0,0,3,0,0,11,206,35,6,0,249,0,0,0,249,33,0,282,244,64,0,7,316,0,0,4,320,5,0,328,36,0,5,0,38,0,0,0,38,0,0,38,0,0,0,9,9,0,0,0,9,0,3,9,484,99,10,14,603,0,0,4,610,41,7,656,6,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,5,0,0,0,10,0,0,10,15,0,0,0,15,0,0,0,16,0,0,16,499,97,10,14,617,3,0,6,625,41,7,672,141,37,4,3,186,0,0,3,187,34,0,220,0,0,0,0,0,0,0,0,0,0,3,3,641,136,16,15,805,6,0,10,815,65,10,895
101031015,0,0,0,0,0,4,0,3,177,9,3,4,195,0,0,0,195,18,0,209,140,31,10,0,173,0,0,0,177,3,0,183,16,0,0,0,19,0,0,0,19,0,0,19,3,3,0,7,8,0,0,0,8,0,0,8,334,46,14,3,397,0,0,0,398,23,0,421,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,335,46,14,3,396,0,0,0,402,23,0,425,46,24,6,0,75,7,0,7,77,16,0,94,0,0,0,0,0,0,0,0,0,0,0,0,382,60,20,7,471,4,0,4,475,39,0,517
