SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
101021007,9,25,4,9,4,0,0,47,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,9,32,19,17,14,0,0,95,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,33,18,20,22,0,0,104,11,19,3,0,0,0,0,32,0,0,0,0,0,0,0,0,23,52,21,22,19,0,0,136
101021008,7,24,18,10,4,4,0,66,9,8,0,0,0,0,0,14,0,0,5,4,0,0,0,3,29,50,59,40,37,12,4,237,3,3,0,0,4,0,0,12,0,3,0,0,4,0,0,10,3,3,3,3,6,0,0,20,35,59,59,36,40,12,4,251,54,62,27,20,11,5,0,183,0,0,0,0,0,0,0,4,92,118,92,59,56,12,4,434
101021009,22,33,15,12,12,0,0,96,4,7,7,5,0,0,0,19,0,0,0,0,0,0,0,7,50,105,54,26,47,17,10,321,0,3,0,4,0,0,0,10,3,7,4,0,0,0,0,9,4,9,0,3,0,0,0,24,55,117,60,30,52,17,10,341,30,29,16,4,14,4,0,98,0,0,0,0,0,0,0,0,85,148,75,36,63,23,11,435
101021010,10,15,11,5,6,0,0,46,3,3,4,0,0,0,0,13,0,0,0,0,4,0,0,7,22,38,46,24,26,4,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,43,19,26,4,0,161,9,6,4,0,0,0,0,27,0,0,0,0,0,0,0,4,30,46,51,24,28,6,4,190
101021012,9,26,10,8,17,6,0,85,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,4,29,84,58,44,64,28,13,323,3,0,0,5,0,0,0,8,4,0,0,0,0,0,0,3,6,0,0,5,0,0,0,10,31,84,58,46,65,28,15,334,30,23,8,15,12,3,0,89,0,0,0,0,0,0,0,6,63,107,72,59,76,30,15,421
101021610,9,6,0,0,6,0,0,23,6,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,37,46,20,21,24,8,4,153,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,38,46,22,20,24,8,4,159,6,6,3,0,0,0,4,15,0,0,0,0,0,0,0,0,46,54,28,20,19,3,4,175
101021611,11,16,23,12,7,6,0,75,7,4,3,9,0,0,0,20,7,0,3,0,0,0,0,5,42,62,61,56,58,16,12,299,3,0,3,0,0,0,0,11,0,3,3,0,0,0,0,7,3,3,8,7,0,0,0,14,45,65,71,54,60,16,13,319,26,29,8,4,4,3,0,77,0,0,0,0,0,0,0,0,76,92,82,59,59,16,13,393
101031013,4,12,9,5,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,6,13,20,16,9,0,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,4,6,19,16,16,8,0,0,64,7,7,8,4,3,0,0,33,0,0,0,0,0,0,0,0,13,31,25,15,13,0,0,98
101031014,17,26,9,18,11,0,0,83,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,49,30,28,42,7,6,183,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,4,4,3,0,0,0,11,21,58,36,29,47,7,7,197,38,32,14,9,8,0,0,97,0,0,3,0,0,0,0,3,59,93,49,38,56,5,7,297
101031015,4,8,0,5,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,10,14,15,16,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,15,16,0,0,65,7,0,3,0,4,0,0,12,0,0,0,0,0,0,0,0,5,14,13,15,19,0,0,78
