SA2_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
101021007,13,49,5,24,9,3,0,3,0,105,22,46,0,17,10,4,0,3,0,93,41,19,5,6,53,9,5,11,0,155,29,28,5,23,18,10,0,5,0,111,10,33,8,0,3,0,0,0,0,49,4,4,11,11,0,5,0,5,0,41,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,0,17,3,8,0,0,3,0,0,0,0,18,145,199,38,93,119,40,9,38,9,681,9,14,0,0,5,0,0,3,0,41,5,15,3,0,7,3,0,0,0,36,47,24,74,6,0,9,39,20,0,220,28,13,45,0,4,0,10,8,0,110,39,18,13,3,10,0,9,12,0,99,21,55,5,30,9,3,0,0,0,130,26,61,0,20,10,0,7,4,0,132,74,39,8,17,67,17,5,13,0,241,46,41,9,31,19,9,0,12,6,175,11,42,18,5,11,0,3,5,0,90
101021008,3,74,4,43,19,3,0,0,4,157,16,71,3,41,15,0,0,0,0,149,85,63,11,18,161,25,4,6,3,379,31,99,5,83,71,11,0,14,0,314,15,27,7,8,6,0,0,0,4,66,8,6,18,11,34,9,0,8,0,100,0,0,0,0,0,0,0,0,0,0,4,6,0,3,5,0,0,0,0,17,7,3,4,6,10,0,0,0,5,33,196,385,63,234,335,61,8,33,25,1328,14,28,9,8,5,4,0,0,0,65,29,53,10,6,12,6,9,7,3,142,41,38,208,7,18,6,39,27,10,403,30,11,151,9,10,0,12,27,0,247,4,7,17,0,4,3,8,12,0,53,14,91,6,60,18,8,0,7,4,201,22,92,7,49,19,0,6,0,0,192,122,99,33,29,202,35,12,17,12,564,54,137,10,124,87,17,6,15,10,456,17,40,12,14,5,5,4,0,5,101
101021009,23,164,4,47,29,8,0,6,5,286,14,110,0,43,23,5,0,4,3,197,102,80,18,69,199,50,3,31,19,567,87,114,7,111,86,19,0,14,10,455,26,40,7,11,22,3,4,0,6,116,9,8,37,19,42,10,0,5,0,133,0,0,0,0,0,0,0,0,0,0,5,11,0,8,16,3,0,0,0,45,0,4,0,7,17,8,0,0,4,39,303,622,99,340,493,131,10,79,46,2132,27,72,11,15,20,9,8,9,0,164,38,115,43,37,33,48,20,25,10,375,53,91,198,20,35,19,69,63,13,554,39,19,133,7,13,12,11,30,4,262,5,15,20,5,15,5,0,13,4,80,30,202,14,64,32,9,3,10,4,369,23,149,6,49,26,3,0,6,3,268,189,144,50,97,251,90,33,56,25,939,145,197,16,162,126,20,0,33,20,727,35,77,22,15,32,12,5,9,6,211
101021010,11,85,5,26,18,0,0,0,3,148,14,56,0,33,12,0,0,0,0,113,55,45,7,32,94,21,0,12,4,260,32,59,5,53,52,7,0,13,0,221,3,14,0,11,13,0,0,0,0,39,12,5,15,9,11,4,0,8,0,65,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,18,0,0,0,0,7,0,0,0,3,13,156,306,47,176,223,48,4,32,9,1001,6,32,11,9,11,0,0,4,0,70,19,63,16,13,12,14,11,3,0,152,31,61,99,9,20,10,21,27,6,284,15,6,49,3,0,9,4,12,0,100,7,0,8,0,7,7,0,0,0,37,13,99,3,31,16,0,0,3,3,177,19,74,0,32,12,0,0,0,0,143,102,87,14,39,128,39,19,22,6,451,71,103,7,93,66,18,3,10,0,372,7,24,11,8,14,3,5,3,0,80
101021012,29,205,12,37,39,11,0,6,4,342,29,203,0,34,27,3,0,4,6,307,245,171,13,40,302,37,4,9,18,825,111,152,9,90,108,10,0,6,6,493,25,48,9,0,18,5,0,0,0,107,16,9,26,32,50,11,0,7,6,150,0,0,0,0,0,0,0,0,0,3,14,18,0,9,10,3,0,0,6,56,5,6,0,5,13,4,0,0,10,50,535,907,90,270,612,90,8,29,52,2590,57,78,7,13,24,3,5,0,3,195,71,149,14,6,21,4,7,4,3,273,161,141,238,24,52,17,49,24,3,713,68,20,159,5,13,12,20,20,0,320,21,15,19,0,13,4,3,6,3,80,43,244,16,60,47,8,0,4,4,435,54,249,4,45,30,3,6,3,8,396,479,307,25,70,364,57,12,18,25,1367,237,261,18,152,131,21,7,10,17,854,37,81,16,7,22,10,0,5,0,176
101021610,12,145,6,19,12,3,0,0,5,212,19,93,0,18,14,0,0,0,0,147,121,94,3,20,175,21,0,0,11,447,58,86,7,45,43,8,0,0,8,253,8,17,3,0,11,0,0,0,0,42,5,3,15,13,24,7,0,0,0,80,0,0,0,0,0,0,0,0,0,0,3,15,0,0,3,0,0,0,0,29,0,0,0,4,6,5,0,0,5,20,272,504,44,142,315,57,3,9,34,1378,22,31,4,3,16,0,0,0,4,87,38,117,15,10,8,8,0,3,7,198,77,79,123,13,18,3,17,15,3,355,40,14,90,3,14,6,5,5,0,185,10,5,4,4,0,0,0,0,0,18,22,192,11,28,12,3,0,0,4,285,27,117,7,22,17,0,0,3,0,191,227,159,12,40,227,40,10,3,16,742,107,130,7,92,55,16,5,0,12,419,13,28,7,5,12,3,0,0,0,70
101021611,64,256,18,50,58,5,0,6,11,465,51,236,7,43,39,3,0,4,5,386,245,159,18,30,310,46,7,15,19,841,151,236,5,114,114,15,3,3,13,652,36,56,7,8,25,12,0,0,0,159,21,3,31,23,49,16,4,8,9,162,0,0,0,0,0,0,0,0,0,3,23,15,0,10,13,0,0,5,0,65,10,13,3,4,18,4,0,4,14,65,713,1115,130,305,680,110,13,56,78,3198,93,132,18,17,20,4,0,3,10,292,79,156,15,11,19,4,0,0,0,284,176,154,364,28,59,8,73,48,18,936,131,32,282,12,14,11,18,35,3,549,54,41,39,12,27,6,7,17,5,212,75,310,21,66,65,14,5,6,12,559,81,298,12,47,50,5,3,4,9,508,443,285,28,50,373,71,8,29,24,1305,286,362,18,191,149,16,11,12,24,1067,51,86,16,15,39,15,3,7,0,241
101031013,8,26,0,13,5,0,0,3,0,59,7,35,0,13,6,0,0,0,0,59,17,3,0,0,29,10,0,4,4,77,11,3,3,24,4,0,3,7,0,53,0,3,0,0,0,0,0,0,0,10,0,0,0,3,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11,62,82,9,57,51,17,6,26,0,315,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,15,3,41,0,5,0,31,18,0,124,11,0,6,0,0,0,3,10,0,34,66,7,7,0,5,0,12,12,0,114,10,33,0,17,5,0,0,4,0,66,12,39,0,13,6,0,0,0,0,62,32,8,0,0,31,14,4,10,4,97,20,8,3,28,7,0,4,10,0,77,0,3,0,0,0,0,0,0,0,8
101031014,11,102,6,31,14,0,0,6,0,168,15,68,0,28,13,9,0,0,3,138,31,41,9,21,108,27,0,7,9,260,21,39,4,80,24,14,0,6,5,185,7,15,0,9,15,5,0,0,0,56,5,0,15,12,14,12,0,8,0,67,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,0,0,0,0,20,6,0,0,8,9,0,0,0,0,25,115,305,53,198,201,69,12,37,14,1000,12,16,0,4,0,0,6,4,0,37,9,21,8,0,4,5,4,8,0,52,43,87,122,17,20,10,45,33,4,385,35,11,84,7,7,4,15,5,4,177,11,14,18,4,4,4,7,8,0,67,13,118,6,47,14,0,0,4,0,208,23,92,4,28,17,9,0,4,4,173,63,69,24,23,119,46,14,15,8,380,38,48,6,112,26,14,5,6,8,268,7,31,3,14,11,7,0,0,0,76
101031015,18,38,7,14,11,0,0,4,5,97,11,39,0,5,3,5,0,0,0,65,37,19,9,7,54,8,0,9,0,136,13,22,0,26,12,4,0,5,0,91,3,3,0,0,3,0,0,0,4,20,3,0,8,3,7,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,5,3,0,0,0,3,0,0,0,0,16,116,141,31,72,107,25,10,33,12,540,12,13,4,6,0,0,0,0,0,33,7,9,3,0,0,3,0,3,0,30,58,25,67,6,4,9,22,19,6,212,26,3,44,4,0,3,9,4,0,86,65,14,21,6,5,9,7,19,4,145,17,44,7,21,11,0,0,3,5,108,15,47,0,7,4,5,0,3,5,93,53,22,14,9,53,16,4,13,0,184,26,33,3,32,16,3,0,8,3,129,8,9,6,0,3,0,0,0,4,30
