SA2_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
101021007,13,18,4,4,0,0,0,0,0,38,4,7,0,0,0,0,0,0,0,14,59,74,11,15,34,6,0,8,0,217,0,0,0,0,0,0,0,0,0,0,10,16,0,9,7,0,4,0,0,52,14,10,0,8,18,3,0,0,0,64,25,17,17,35,35,13,3,13,0,153,5,0,0,0,8,0,0,4,0,16,8,3,0,3,3,5,0,0,0,32,3,0,0,0,0,0,0,0,0,3,0,7,0,0,5,5,0,3,0,17,145,199,38,93,119,40,9,38,9,681,0,0,0,0,0,0,0,0,0,0,6,24,0,3,0,0,0,0,0,38,34,53,3,6,7,4,0,0,0,113,0,0,0,0,0,0,0,0,0,3,15,28,3,5,9,4,0,0,0,59,3,6,0,0,0,0,0,0,0,13,98,140,35,18,41,9,0,14,0,361,0,0,0,0,0,0,0,0,0,0
101021008,4,16,0,13,6,0,0,0,0,38,7,15,0,0,5,0,0,0,0,31,61,175,3,40,57,7,0,3,0,360,0,0,0,0,0,0,0,0,0,0,18,15,4,13,19,3,4,0,4,79,35,38,9,55,59,10,0,7,3,213,35,38,30,92,126,26,4,17,0,362,7,0,0,3,13,9,0,9,0,37,11,8,0,8,19,3,0,0,3,38,0,0,0,0,0,0,0,0,0,3,5,6,0,3,10,0,0,0,6,41,196,385,63,234,335,61,8,33,25,1328,0,0,0,0,0,0,0,0,0,3,5,19,0,0,0,0,0,0,0,26,47,110,12,10,26,11,6,4,6,238,0,3,0,0,0,0,0,0,0,6,12,33,0,16,4,0,0,0,0,65,9,21,0,0,5,0,0,0,0,39,100,264,31,62,76,19,6,9,12,579,0,0,0,0,0,0,0,0,0,3
101021009,15,37,0,17,18,0,0,0,0,97,6,15,0,0,9,0,0,0,0,34,105,296,13,78,122,31,0,15,14,678,0,0,0,0,0,0,0,0,0,4,19,29,5,23,37,5,0,3,0,120,43,42,15,54,71,14,0,9,3,258,35,44,49,88,126,38,3,16,7,412,4,3,0,9,10,3,3,0,0,30,3,3,5,14,22,3,0,5,0,57,3,3,0,3,6,0,0,0,0,22,0,9,0,0,16,4,0,4,0,42,303,622,99,340,493,131,10,79,46,2132,0,3,0,0,0,0,0,0,0,7,19,60,0,0,10,0,0,0,0,91,106,212,32,78,70,59,28,59,11,658,4,3,0,0,0,3,0,0,0,15,25,63,0,25,25,4,0,0,0,142,12,24,0,0,8,0,0,0,0,51,201,518,59,115,174,72,36,60,29,1249,0,0,0,0,0,0,0,0,0,4
101021010,3,16,0,9,4,0,0,0,0,37,5,9,0,0,0,0,0,0,0,14,55,172,18,34,54,11,0,4,5,358,0,0,0,0,0,0,0,0,0,0,9,3,0,4,18,8,0,0,0,42,17,18,11,34,36,5,0,0,3,132,23,22,19,49,62,11,4,14,3,211,0,0,0,4,9,0,0,0,0,17,3,0,4,5,7,0,0,0,0,26,0,3,0,0,0,0,0,0,0,7,5,0,0,5,7,0,0,0,3,13,156,306,47,176,223,48,4,32,9,1001,0,0,0,0,0,0,0,0,0,5,6,24,0,0,0,0,0,0,0,33,61,100,10,34,29,25,11,9,4,278,5,3,0,0,0,0,0,0,0,7,12,24,0,15,3,0,0,0,0,56,7,16,0,0,0,0,0,0,0,30,96,285,33,54,86,26,17,11,12,613,0,0,0,0,0,0,0,0,0,0
101021012,25,70,0,10,16,0,0,0,3,127,15,27,0,3,7,0,0,0,0,55,183,433,19,61,131,20,0,10,7,860,0,0,0,0,0,0,0,0,0,0,30,40,6,15,49,10,0,4,3,148,60,65,9,46,94,11,0,0,10,294,55,48,46,97,179,24,3,9,13,476,8,0,0,8,33,3,0,4,0,57,6,9,8,9,35,8,0,3,0,78,4,3,0,0,7,3,0,0,0,17,4,7,0,10,22,10,0,0,10,60,535,907,90,270,612,90,8,29,52,2590,4,3,0,0,0,0,0,0,0,12,27,56,0,0,0,0,0,0,0,90,346,330,8,33,63,4,3,9,19,817,3,9,0,0,3,0,0,0,0,19,51,97,0,18,21,0,0,0,4,190,25,44,4,3,14,0,0,0,0,93,360,716,49,99,183,37,17,16,21,1492,0,0,0,0,0,0,0,0,0,0
101021610,17,37,0,4,9,0,0,0,0,71,15,19,0,0,0,0,0,0,0,34,88,258,10,40,85,14,0,0,14,511,0,0,0,0,0,0,0,0,0,4,10,14,3,12,21,5,0,0,0,65,44,49,8,40,64,11,0,0,0,216,33,30,28,32,93,16,0,4,3,235,9,3,0,0,9,0,0,0,0,28,4,4,0,0,7,0,0,0,0,19,0,3,0,0,0,0,0,0,0,6,3,0,0,4,5,0,0,0,7,22,272,504,44,142,315,57,3,9,34,1378,0,5,0,0,0,0,0,0,0,0,5,19,0,6,4,0,0,0,0,33,124,159,5,13,26,6,4,0,8,338,0,4,0,0,4,0,0,0,0,9,27,55,0,4,10,0,0,0,4,101,24,24,0,5,5,0,0,0,0,53,177,439,33,68,118,21,11,8,16,878,0,0,0,0,0,0,0,0,0,5
101021611,37,86,3,17,8,0,0,0,3,153,26,22,0,0,8,0,0,0,0,60,241,523,24,62,148,14,6,6,16,1040,0,0,0,0,0,0,0,0,0,3,45,50,5,29,58,8,0,4,0,203,77,75,17,65,114,17,3,3,10,379,84,60,67,96,204,42,8,22,19,602,7,9,0,9,32,7,0,5,0,76,7,10,3,3,40,5,0,8,0,78,0,3,0,0,7,0,0,0,0,15,17,8,3,11,21,9,0,3,8,85,713,1115,130,305,680,110,13,56,78,3198,5,8,0,0,0,0,0,0,0,7,49,139,0,0,3,0,0,0,0,203,279,311,9,24,62,3,3,3,22,723,13,12,0,0,8,0,0,0,0,31,71,122,3,19,17,0,0,0,3,235,45,34,0,5,12,0,0,0,4,100,447,845,49,111,193,40,5,23,22,1740,0,0,0,0,0,0,0,0,0,5
101031013,0,12,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,22,44,0,4,7,3,0,0,3,90,0,0,0,0,0,0,0,0,0,0,4,6,0,3,5,0,0,3,0,20,5,4,0,11,7,3,0,0,0,38,14,9,0,28,27,6,5,13,0,100,3,4,0,0,0,0,0,4,0,12,5,0,0,4,3,4,0,5,0,17,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,5,0,10,62,82,9,57,51,17,6,26,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,51,62,4,3,8,7,0,9,3,151,0,0,0,0,0,0,0,0,0,0
101031014,5,25,0,6,0,0,0,0,0,43,0,3,0,0,4,0,0,0,0,13,34,159,6,19,27,6,3,9,0,257,0,0,0,0,0,0,0,0,0,5,6,15,3,15,7,0,0,0,0,50,13,22,8,50,29,17,3,3,5,146,27,17,26,93,95,26,0,22,7,306,5,4,0,3,11,7,0,5,0,29,8,0,5,10,12,9,6,0,4,46,0,0,4,0,0,0,0,0,0,5,3,0,0,9,3,0,0,0,3,21,115,305,53,198,201,69,12,37,14,1000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,29,90,4,3,11,0,0,3,4,144,0,4,0,0,0,0,0,0,0,10,4,36,0,6,0,0,0,0,0,55,8,3,0,0,0,0,0,0,0,13,60,280,28,27,42,16,6,12,3,478,0,0,0,0,0,0,0,0,0,5
101031015,0,10,0,0,5,0,0,0,0,12,0,6,0,4,3,0,0,0,0,10,41,74,3,7,25,4,0,3,11,169,0,0,0,0,0,0,0,0,0,0,11,11,3,5,10,0,0,0,0,38,19,9,8,7,15,0,0,3,0,65,19,13,16,33,33,15,5,19,0,142,0,0,0,0,3,3,0,3,0,15,3,0,0,3,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,7,0,0,3,8,0,0,0,0,25,116,141,31,72,107,25,10,33,12,540,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,15,18,32,0,5,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,5,7,0,0,5,0,0,0,0,16,0,8,0,4,3,0,0,0,0,10,78,120,11,15,31,4,6,3,8,270,0,0,0,0,0,0,0,0,0,0
