SA2_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
101021007,0,6,15,16,23,44,50,15,3,171,5,0,16,13,11,6,0,0,0,46,7,0,12,7,6,8,3,0,0,47,0,0,7,4,7,3,0,0,0,26,16,18,40,35,53,40,8,0,0,200,0,0,0,3,0,4,0,0,0,17,7,4,6,12,11,7,6,3,0,52,8,9,8,7,4,7,4,0,0,50,0,0,7,8,16,17,6,0,0,48,0,0,0,5,0,3,0,0,0,9,0,0,0,4,3,4,0,0,0,11,0,0,0,0,0,4,3,0,0,7,0,0,5,5,19,19,8,0,0,56,0,6,0,0,4,4,0,0,0,18,0,0,19,25,54,28,4,0,0,131,0,0,4,13,17,14,10,6,0,59,0,0,4,4,3,11,0,0,0,23,0,0,3,4,0,5,0,0,0,11,0,6,4,0,12,10,4,0,0,40,3,3,5,10,16,5,5,3,0,48
101021008,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,4,0,0,0,5,0,13,31,31,28,22,6,0,0,135,0,3,3,16,16,7,0,0,0,47,22,74,154,109,94,69,22,0,0,553,0,6,13,8,14,3,3,0,0,53,21,21,46,19,19,15,5,0,0,146,28,23,18,17,4,10,5,0,0,105,0,15,26,16,31,33,8,0,0,129,0,0,4,8,4,4,0,0,0,15,0,0,7,0,0,0,0,0,0,12,0,0,3,0,5,5,3,0,0,27,5,9,27,42,21,15,4,3,0,126,0,0,12,9,17,13,4,0,0,55,0,17,74,109,114,87,15,0,0,413,8,10,14,6,13,10,6,0,0,65,0,9,24,14,13,18,4,0,0,78,0,6,4,4,10,9,0,0,0,28,5,9,25,16,23,16,4,0,0,105,7,16,23,22,18,9,7,0,0,109
101021009,0,0,4,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,17,48,34,35,27,11,0,0,183,0,0,6,13,11,12,3,0,0,43,33,91,174,143,86,66,23,0,0,603,4,3,24,3,13,10,0,0,0,62,26,31,122,53,27,30,6,6,0,294,31,34,72,32,25,13,0,0,0,213,0,7,62,37,38,33,12,0,0,182,0,3,13,9,8,4,5,0,0,39,0,0,7,3,7,0,0,0,0,18,0,6,10,6,7,3,0,0,0,32,4,4,81,64,34,21,7,0,0,209,0,9,33,17,23,15,3,0,0,109,3,38,152,182,176,99,16,0,0,658,4,5,35,34,25,17,8,0,0,121,0,11,55,30,32,27,6,5,0,166,8,6,11,8,11,7,3,0,0,44,7,15,33,28,26,19,11,0,0,131,10,17,60,35,31,26,3,0,0,175
101021010,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,5,23,18,13,13,3,0,0,92,0,0,6,4,0,4,0,0,0,21,11,20,72,41,39,36,5,0,0,233,0,0,11,8,6,6,4,0,0,31,8,20,51,21,12,11,3,0,0,124,20,13,33,17,0,7,4,0,0,93,3,4,21,23,15,24,0,0,0,89,0,4,10,6,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,12,0,0,0,10,6,0,0,0,0,11,0,9,41,26,18,12,7,0,0,119,0,0,16,10,14,14,3,0,0,54,0,26,91,87,99,54,14,0,0,358,0,3,26,15,6,11,4,0,0,76,0,6,10,18,17,18,0,0,0,76,3,0,3,5,0,3,3,0,0,14,3,3,22,13,9,4,4,0,0,60,0,11,28,17,17,8,5,0,0,77
101021012,0,0,3,4,0,0,0,0,0,11,0,0,0,4,0,3,0,0,0,11,11,13,33,21,36,28,13,0,0,155,0,3,11,8,14,9,0,0,0,51,37,92,152,116,120,120,23,4,0,658,7,6,14,20,15,12,0,0,0,67,67,50,39,23,31,34,5,0,0,245,87,32,15,14,6,8,0,0,0,164,4,8,19,18,37,38,6,0,0,131,5,0,15,18,18,3,0,0,0,63,0,0,4,7,12,10,0,0,0,33,0,5,9,19,7,9,0,0,0,52,5,28,59,85,91,64,15,0,0,341,4,12,14,7,14,15,0,0,0,79,0,25,136,352,398,208,38,0,0,1157,8,15,27,23,33,16,9,0,0,139,0,11,17,17,37,16,8,0,0,117,6,4,8,6,14,5,0,0,0,46,8,12,25,20,16,21,7,0,0,114,3,21,28,23,21,24,0,0,0,118
101021610,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,28,26,13,7,0,0,0,75,0,0,0,11,4,0,0,0,0,26,11,29,151,79,29,8,5,0,0,307,0,0,8,15,10,4,0,0,0,35,20,15,17,25,15,7,0,0,0,93,19,6,15,12,5,0,0,0,0,62,0,0,24,21,13,3,3,0,0,62,0,0,7,11,3,0,0,0,0,28,0,0,6,10,3,4,0,0,0,24,0,3,4,6,3,0,0,0,0,21,0,12,57,71,37,9,5,0,0,180,0,3,9,14,5,0,0,0,0,39,0,12,153,242,147,45,4,0,0,604,0,5,15,30,8,7,0,0,0,63,0,4,27,37,14,9,5,0,0,89,0,0,0,4,0,0,0,0,0,12,0,4,17,11,6,7,0,0,0,45,0,4,14,27,10,4,0,0,0,59
101021611,10,10,18,16,18,39,43,25,0,176,0,3,7,0,4,0,0,0,0,20,17,17,38,32,53,34,12,3,0,203,0,6,12,16,15,19,0,0,0,68,71,115,227,221,207,149,50,3,0,1051,0,4,10,14,23,20,12,4,0,84,51,36,21,33,34,38,20,4,0,242,66,25,19,14,14,19,10,0,0,165,3,5,19,33,59,61,16,3,0,205,0,3,6,8,21,12,4,0,0,50,0,3,5,5,13,12,0,0,0,45,0,0,8,9,17,10,3,0,0,49,4,23,61,94,124,95,41,10,0,442,4,11,4,11,23,19,11,0,0,87,0,28,103,248,343,232,41,6,0,1006,7,6,21,35,52,40,16,6,0,179,8,14,19,11,29,35,15,3,0,131,13,10,12,9,14,9,4,0,0,61,14,27,34,37,41,34,11,4,0,197,10,12,31,33,37,40,15,3,0,189
101031013,9,14,34,34,39,67,38,14,0,237,0,0,0,0,0,0,0,0,0,9,0,0,22,16,11,15,0,0,0,70,0,0,0,0,0,9,0,0,0,10,4,3,16,11,11,6,6,0,0,58,0,0,0,0,8,0,0,0,0,10,6,3,0,4,6,4,5,0,0,21,0,0,0,3,3,3,0,0,0,16,0,0,4,0,6,5,8,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,5,0,0,0,5,0,0,3,9,10,11,0,0,0,34,0,0,5,0,3,4,4,0,0,16,0,0,0,0,4,5,4,0,0,12,0,0,0,0,0,0,0,0,0,4,0,5,3,0,3,0,0,0,0,14,0,0,12,12,0,6,0,0,0,41
101031014,0,7,12,4,11,16,12,5,0,61,0,0,3,0,4,0,0,0,0,4,0,0,12,8,12,16,0,0,0,52,3,13,44,24,26,20,6,0,0,131,18,25,79,73,60,42,14,4,0,311,8,0,9,8,5,12,4,3,0,42,25,26,32,23,22,22,17,3,0,164,37,22,16,9,15,11,0,0,0,120,0,5,11,14,22,39,7,0,0,103,0,0,6,0,5,4,3,0,0,19,0,0,0,0,4,5,0,0,0,8,6,0,4,3,0,4,4,0,0,26,0,3,14,12,7,14,9,0,0,65,3,4,8,10,8,5,0,3,0,42,0,4,27,31,39,51,10,0,0,157,0,0,8,5,23,16,3,0,0,63,0,4,13,12,7,12,3,0,0,58,0,0,3,3,3,0,0,0,0,12,3,8,17,5,13,12,10,0,0,61,3,5,23,12,15,11,6,5,0,79
101031015,7,11,18,25,46,54,33,30,0,224,0,0,5,6,0,3,0,0,0,14,0,7,5,3,5,7,0,0,0,31,0,3,4,8,7,14,3,0,0,48,5,11,31,31,42,28,12,7,0,161,0,0,0,5,3,6,6,0,0,21,9,6,3,10,7,13,3,0,0,53,12,7,4,0,5,10,5,0,0,47,0,0,0,8,11,10,4,0,0,38,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,6,8,11,7,6,0,0,40,0,0,0,0,5,0,0,0,0,20,0,5,12,8,41,36,6,0,0,107,0,0,0,0,10,8,3,0,0,28,0,0,0,5,0,4,0,0,0,13,0,0,0,3,3,0,0,0,0,11,3,4,7,3,4,9,3,0,0,37,4,0,5,8,8,8,4,5,0,36
