SA2_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
101021007,8,10,16,9,17,25,11,68,0,171,3,0,0,0,0,4,4,32,0,46,5,11,5,5,0,14,3,10,0,47,0,0,0,0,7,10,6,5,0,26,8,10,11,9,26,57,32,44,8,200,6,0,0,0,0,4,0,3,0,17,0,13,5,0,4,6,4,9,0,52,0,17,7,0,3,3,0,11,0,50,5,4,6,0,6,8,4,17,3,48,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,3,0,0,0,7,0,4,11,4,12,15,9,9,0,56,0,3,0,5,0,3,0,3,0,18,9,0,0,0,46,37,19,11,0,131,0,11,8,6,7,9,6,5,0,59,0,11,0,3,0,4,0,9,0,23,0,6,0,0,0,6,0,4,0,11,0,6,5,0,3,6,0,13,0,40,4,4,6,0,9,11,0,17,10,48
101021008,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,5,5,6,7,3,30,52,17,19,5,135,5,0,0,0,11,13,0,7,0,47,16,18,20,23,65,241,72,90,11,553,0,3,0,0,12,21,4,11,0,53,5,25,21,3,43,30,19,6,3,146,3,35,17,5,23,12,4,3,0,105,7,9,10,11,18,27,7,35,3,129,0,0,0,0,3,6,0,6,0,15,0,0,0,0,3,0,0,0,0,12,0,4,0,0,5,13,0,10,0,27,3,10,3,3,34,36,9,28,0,126,0,8,4,4,21,9,3,8,0,55,17,11,12,9,151,143,37,37,5,413,4,4,10,8,18,18,4,9,0,65,0,11,10,10,21,16,4,7,0,78,0,8,4,0,6,4,0,0,0,28,5,7,5,0,19,40,13,13,0,105,4,10,5,0,23,30,11,10,11,109
101021009,0,0,3,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,10,3,66,48,22,21,0,183,0,0,5,3,10,16,4,7,0,43,16,32,29,18,102,230,59,114,12,603,0,8,9,0,15,22,6,11,0,62,7,40,51,25,84,49,20,22,3,294,7,40,35,18,35,34,6,20,3,213,3,15,14,12,38,49,8,39,6,182,0,9,0,0,10,15,0,0,0,39,0,0,0,0,10,7,5,3,0,18,0,0,4,0,8,15,0,4,0,32,8,5,12,6,51,90,16,30,0,209,0,17,8,7,25,26,8,14,0,109,29,18,23,20,233,197,53,81,7,658,6,11,8,7,28,31,14,17,0,121,4,22,25,24,43,26,10,15,4,166,0,10,4,8,13,12,0,0,0,44,11,12,13,9,24,34,16,17,0,131,8,11,17,9,36,35,7,25,25,175
101021010,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,27,29,7,20,0,92,0,0,0,0,6,7,3,0,0,21,3,6,17,5,31,90,34,40,3,233,0,0,0,0,11,7,4,7,0,31,0,12,10,11,48,15,7,12,0,124,0,22,12,6,23,16,3,10,5,93,5,7,4,3,23,22,7,22,0,89,0,0,0,0,5,7,4,0,0,23,0,0,0,0,4,6,0,0,0,12,0,0,0,0,0,4,0,5,0,11,3,6,4,3,28,43,12,18,0,119,0,8,11,4,12,9,0,7,0,54,11,17,7,9,121,102,45,49,5,358,4,10,4,6,23,15,4,9,0,76,4,14,10,5,20,14,3,9,0,76,6,5,5,0,4,0,0,0,0,14,0,7,5,4,13,14,5,7,0,60,0,4,7,6,15,22,8,3,15,77
101021012,0,0,0,4,0,5,0,0,0,11,0,0,0,0,0,0,0,9,0,11,3,7,3,5,17,46,31,37,0,155,6,0,4,0,18,14,9,10,0,51,13,32,19,15,92,236,81,165,8,658,4,4,4,0,11,23,8,14,0,67,7,67,29,16,43,48,13,27,0,245,5,87,29,8,14,3,6,10,0,164,8,12,10,11,18,28,15,32,0,131,0,3,3,3,15,21,4,12,0,63,0,0,0,3,3,9,6,6,0,33,0,0,6,5,9,14,4,11,0,52,4,18,11,16,67,130,26,73,4,341,0,14,6,0,15,18,8,11,0,79,42,30,23,27,282,385,136,215,3,1157,5,24,8,3,27,31,9,26,0,139,3,15,10,8,28,32,10,11,0,117,5,10,4,3,7,6,0,5,0,46,5,13,3,0,28,27,9,28,0,114,6,10,8,3,20,34,8,16,18,118
101021610,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,4,6,18,32,4,9,0,75,0,0,0,0,9,3,0,8,0,26,10,3,9,3,49,111,38,75,4,307,0,0,0,0,10,12,0,8,0,35,0,25,11,3,18,16,9,16,0,93,0,20,7,0,10,8,4,4,0,62,4,3,3,3,18,18,3,4,0,62,0,0,0,0,9,10,3,3,0,28,0,0,5,0,4,12,3,0,0,24,0,3,0,0,0,9,6,4,0,21,0,0,3,4,44,86,17,23,0,180,3,0,4,0,6,18,5,5,0,39,26,9,14,10,167,190,65,116,9,604,0,4,4,6,23,19,5,8,4,63,0,5,4,16,31,17,6,8,0,89,0,0,0,0,4,4,0,0,0,12,0,0,0,4,15,10,3,7,0,45,3,0,0,6,10,16,4,7,3,59
101021611,7,20,26,14,17,40,7,51,5,176,0,0,0,0,0,0,0,16,0,20,0,12,3,10,36,69,21,44,6,203,0,3,0,3,14,21,12,9,0,68,31,52,42,42,124,371,96,282,22,1051,0,11,3,0,20,20,8,19,0,84,11,49,29,13,46,36,17,41,3,242,8,68,16,14,12,18,3,18,0,165,15,9,20,9,35,54,18,51,3,205,5,0,5,0,11,12,8,10,0,50,4,0,0,4,9,17,3,5,0,45,0,5,0,6,5,16,3,9,0,49,11,25,31,19,62,163,43,89,0,442,4,12,9,5,17,16,7,14,3,87,57,33,28,25,236,347,113,161,4,1006,3,26,7,15,43,41,16,34,0,179,5,20,19,9,23,31,6,11,0,131,5,19,3,3,7,10,4,13,0,61,4,9,11,5,37,61,23,46,0,197,7,24,8,3,23,56,11,34,26,189
101031013,9,16,13,6,23,55,25,93,0,237,0,0,0,0,0,0,0,4,0,9,5,0,3,0,18,14,9,17,5,70,0,0,0,0,0,3,0,0,0,10,0,8,6,3,4,14,7,12,3,58,0,0,0,0,0,3,0,6,0,10,4,8,0,0,0,6,3,8,0,21,0,3,4,0,0,0,4,7,0,16,0,4,3,0,0,0,5,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,3,0,12,4,0,8,0,34,0,6,0,0,6,0,0,0,0,16,0,0,0,0,0,3,0,0,0,12,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,6,0,8,0,14,0,0,0,0,9,12,4,9,9,41
101031014,5,3,8,5,12,10,5,20,6,61,0,0,0,0,0,0,0,7,0,4,0,5,3,0,20,10,0,13,0,52,0,0,4,3,45,40,13,29,0,131,7,12,18,19,49,85,23,92,6,311,0,7,3,5,10,8,5,7,0,42,0,28,16,13,42,34,6,17,0,164,3,28,28,8,22,12,4,9,0,120,5,5,8,8,5,34,9,30,0,103,0,0,0,3,9,0,0,3,0,19,0,0,5,0,0,3,0,3,0,8,0,4,0,0,0,3,0,3,0,26,3,7,3,0,11,18,5,15,3,65,0,11,9,4,10,6,4,8,0,42,11,4,0,3,64,42,7,20,0,157,4,12,8,9,9,12,6,9,0,63,9,3,4,12,14,7,3,5,0,58,0,3,0,0,0,0,0,0,0,12,0,0,7,0,11,20,6,10,0,61,0,11,7,4,13,17,4,14,15,79
101031015,4,13,21,13,15,43,21,96,0,224,0,0,0,0,0,0,0,9,0,14,0,0,0,0,7,6,0,3,0,31,3,3,0,0,11,18,4,10,0,48,6,18,12,4,24,43,18,42,0,161,0,3,0,0,0,0,7,6,0,21,3,15,7,0,6,10,6,7,0,53,0,16,0,0,0,6,4,7,0,47,4,0,0,0,5,11,3,15,0,38,0,0,0,0,6,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,9,0,0,0,0,9,12,0,14,0,40,0,0,0,3,0,0,0,5,0,20,7,4,3,3,38,30,5,18,0,107,0,3,3,0,5,0,0,0,0,28,0,0,0,0,0,3,0,7,0,13,0,0,0,0,3,3,0,0,0,11,0,6,6,0,4,7,4,8,0,37,4,5,0,0,8,3,0,12,8,36
